Date,Open,High,Low,Close,Volume
2016-02-15 08:00:00,408.3,412.5,395.23,399.9,30129.685193289966
2016-02-16 08:00:00,400.08,408.77,398.66,407.27,13991.056777410102
2016-02-17 08:00:00,407.37,421.9,405.16,414.88,30400.764893609914
2016-02-18 08:00:00,414.89,426.21,412.51,421.5,25228.63442937999
2016-02-19 08:00:00,421.51,422.54,412,419.85,13268.556246830109
2016-02-20 08:00:00,419.72,445.96,419.72,438.7,47477.18201239002
2016-02-21 08:00:00,438.73,451.6,428.01,440.49,43012.36409729954
2016-02-22 08:00:00,440.49,442.5,433.01,440.27,16337.466439880212
2016-02-23 08:00:00,440.25,442.67,416.24,421.4,32431.14307513074
2016-02-24 08:00:00,421.5,427.5,409.69,426.36,22426.108997230327
2016-02-25 08:00:00,426.36,430,419.5,424.88,13595.76030845033
2016-02-26 08:00:00,424.89,435.9,419.83,435.49,18860.341893470344
2016-02-27 08:00:00,435.49,438.6,431.81,434.3,11592.353368190239
2016-02-28 08:00:00,434.03,437.89,422.1,434.45,19852.271098541023
2016-02-29 08:00:00,434.46,445,430.51,438.99,20389.46046158061
2016-03-01 08:00:00,439.53,442.79,427.26,434.82,19625.832775420673
2016-03-02 08:00:00,434.99,436.45,421.11,422.09,16463.129152610763
2016-03-03 08:00:00,421.7,424.43,416.4,420.56,20874.05140072991
2016-03-04 08:00:00,420.19,423.99,407.5,408.82,21749.419855930013
2016-03-05 08:00:00,408.71,410.14,389,397.36,46951.85160138023
2016-03-06 08:00:00,397.37,409.5,392.01,403.75,19707.204719970003
2016-03-07 08:00:00,403.77,415.8,401.51,412.7,15306.221330260063
2016-03-08 08:00:00,412.62,416,406,411.35,10227.455512020048
2016-03-09 08:00:00,411.34,414.5,407.47,413.05,9027.753218880063
2016-03-10 08:00:00,412.9,418.24,410.68,416.51,13709.082920749908
2016-03-11 08:00:00,416.64,423.6,415.5,420.47,15464.778642660029
2016-03-12 08:00:00,420.49,421.81,406.38,410.01,17020.425544630074
2016-03-13 08:00:00,410.01,416,410,411.87,7628.342534440028
2016-03-14 08:00:00,412,417.99,411.7,415.91,9210.432258500037
2016-03-15 08:00:00,415.99,418.82,412.78,415.5,9632.105654380004
2016-03-16 08:00:00,415.52,418,413.96,417.28,7066.7064469199995
2016-03-17 08:00:00,417.28,420.6,416.67,418.75,8308.821378350045
2016-03-18 08:00:00,418.71,418.86,403.01,407.86,21090.86035611995
2016-03-19 08:00:00,407.5,412,404,408.68,8954.99064014006
2016-03-20 08:00:00,408.7,413.2,407.92,411.25,5655.496142400099
2016-03-21 08:00:00,410.81,412.14,406,411.88,7818.387808420049
2016-03-22 08:00:00,411.85,418.68,409.88,417.7,10196.10581222004
2016-03-23 08:00:00,417.7,419.72,415.83,418.12,7195.021234230001
2016-03-24 08:00:00,418.12,418.13,414,415.3,7559.671086359985
2016-03-25 08:00:00,415.3,417.03,413.03,416,3690.245880630004
2016-03-26 08:00:00,416.02,419.4,413.2,416.71,5039.7393594199875
2016-03-27 08:00:00,416.72,431,415.79,427.36,22410.756896220017
